NOMBRE,Total
PALACIO,23662
EMBAJADORES,46775
CORTES,10846
JUSTICIA,18257
UNIVERSIDAD,33157
SOL,8301
IMPERIAL,22478
ACACIAS,36278
CHOPERA,19931
LEGAZPI,19594
DELICIAS,28650
PALOS DE MOGUER,25207
ATOCHA,1797
PACIFICO,33082
ADELFAS,18867
ESTRELLA,22857
IBIZA,21547
LOS JERONIMOS,6960
NIÑO JESUS,15205
RECOLETOS,15666
GOYA,29587
FUENTE DEL BERRO,20999
GUINDALERA,42040
LISTA,20940
CASTELLANA,17036
EL VISO,17177
PROSPERIDAD,36190
CIUDAD JARDIN,18586
HISPANOAMERICA,31650
NUEVA ESPAÑA,24481
CASTILLA,17085
BELLAS VISTAS,29491
CUATRO CAMINOS,34687
CASTILLEJOS,20561
ALMENARA,22990
VALDEACEDERAS,26576
BERRUGUETE,25566
GAZTAMBIDE,22846
ARAPILES,24276
TRAFALGAR,24700
ALMAGRO,19483
RIOS ROSAS,27317
VALLEHERMOSO,19890
EL PARDO,3456
FUENTELARREINA,3353
PEÑAGRANDE,44390
PILAR,45700
LA PAZ,32345
VALVERDE,64672
MIRASIERRA,35692
EL GOLOSO,19141
CASA DE CAMPO,12842
ARGÜELLES,24354
CIUDAD UNIVERSITARIA,16261
VALDEZARZA,30216
VALDEMARIN,7106
EL PLANTIO,3063
ARAVACA,27543
LOS CARMENES,17896
PUERTA DEL ANGEL,42503
LUCERO,36621
ALUCHE,66926
CAMPAMENTO,19779
CUATRO VIENTOS,6048
AGUILAS,51233
COMILLAS,22619
OPAÑEL,34066
SAN ISIDRO,40106
VISTA ALEGRE,47591
PUERTA BONITA,36488
BUENAVISTA,48760
ABRANTES,31680
ORCASITAS,23248
ORCASUR,14436
SAN FERMIN,23791
ALMENDRALES,22967
MOSCARDO,26700
ZOFIO,14359
PRADOLONGO,17826
ENTREVIAS,35344
SAN DIEGO,44460
PALOMERAS BAJAS,40445
PALOMERAS SURESTE,42898
PORTAZGO,28701
NUMANCIA,48485
PAVONES,8874
HORCAJO,6399
MARROQUINA,26424
MEDIA LEGUA,17523
FONTARRON,17256
VINATEROS,16850
VENTAS,48617
PUEBLO NUEVO,63008
QUINTANA,24744
LA CONCEPCION,20782
SAN PASCUAL,17740
SAN JUAN BAUTISTA,12495
COLINA,6383
ATALAYA,1638
COSTILLARES,21883
PALOMAS,6950
PIOVERA,15107
CANILLAS,40074
PINAR DEL REY,52340
APOSTOL SANTIAGO,15391
VALDEFUENTES,67908
VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE,47453
SAN CRISTOBAL,17122
BUTARQUE,21166
LOS ROSALES,37779
ANGELES,34098
CASCO HISTORICO DE VALLECAS,40157
SANTA EUGENIA,24199
ENSANCHE DE VALLECAS,52342
CASCO HISTORICO DE VICALVARO,35747
VALDEBERNARDO,17569
VALDERRIVAS,17852
EL CAÑAVERAL,10845
SIMANCAS,28836
HELLIN,9514
AMPOSTA,9016
ARCOS,25389
ROSAS,30982
REJAS,17349
CANILLEJAS,29186
EL SALVADOR,11284
ALAMEDA DE OSUNA,19806
AEROPUERTO,1877
CASCO HISTORICO DE BARAJAS,7480
TIMON,12030
CORRALEJOS,7646